"테이블 정의서","주제영역명","작성일","작성자","테이블 ID","테이블명","테이블설명","No","컬럼ID","컬럼명","타입","길이","Null","KEY","DEFAULT","비고","업뮤규칙"
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","1","REQUEST_SEQ","요청 SEQ","NUMBER","30,0","N","PK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","2","USER_SEQ","사용자 SEQ","NUMBER","30,0","N","FK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","3","WALLET_SEQ","지갑 SEQ","NUMBER","20,0","N","FK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","4","TOTAL_MILE","총 마일리지","NUMBER","","N","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","5","STATUS","상태","VARCHAR2","20","Y","","'PENDING'","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","6","REQUESTED_AT","요청일","DATE","","Y","","SYSDATE","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","7","PROCESSED_AT","처리일","DATE","","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","8","COMPANY_FEE","회사 수수료","NUMBER","","Y","","0","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","9","PAID_AMOUNT","지급액","NUMBER","","Y","","0","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","SETTLEMENT_REQUEST","정산 요청","정산 요청 정보","10","REJECT_REASON","거절 사유","VARCHAR2","300","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","AD_BANNER","광고 배너","광고 배너 정보","1","BANNER_ID","배너 ID","NUMBER","","N","PK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","AD_BANNER","광고 배너","광고 배너 정보","2","TITLE","제목","VARCHAR2","100","N","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","AD_BANNER","광고 배너","광고 배너 정보","3","IMAGE_URL","이미지 URL","VARCHAR2","500","N","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","AD_BANNER","광고 배너","광고 배너 정보","4","LINK_URL","링크 URL","VARCHAR2","500","N","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","AD_BANNER","광고 배너","광고 배너 정보","5","CLICK_COUNT","클릭 수","NUMBER","","Y","","0","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","AD_BANNER","광고 배너","광고 배너 정보","6","CREATED_AT","생성일","TIMESTAMP","6","Y","","SYSTIMESTAMP","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","AD_BANNER","광고 배너","광고 배너 정보","7","UPDATED_AT","수정일","TIMESTAMP","6","Y","","SYSTIMESTAMP","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","1","USER_ID","사용자 ID","VARCHAR2","50","N","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","2","PAY_STATUS","결제 상태","VARCHAR2","20","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","3","REFUND_STATUS","환불 상태","VARCHAR2","20","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","4","TOTAL_DONATION","총 기부액","NUMBER","","Y","","0","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","5","REFUNDED_AMOUNT","환불액","NUMBER","","Y","","0","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","6","BADGE_LEVEL","뱃지 레벨","VARCHAR2","20","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","7","DONATION_SEQ","기부 SEQ","VARCHAR2","50","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","8","COURSE_SEQ","강의 SEQ","VARCHAR2","50","Y","FK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","9","PAYMENT_SEQ","결제 SEQ","VARCHAR2","50","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","DONATION_STAT","기부 통계","기부 통계 정보","10","WALLET_SEQ","지갑 SEQ","NUMBER","20,0","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","1","REPORT_ID","신고 ID","NUMBER","","N","PK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","2","POST_ID2","게시물 ID","NUMBER","","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","3","COURSE_ID","강의 ID","VARCHAR2","50","Y","FK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","4","REPORTER_ID","신고자 ID","NUMBER","","N","FK","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","5","REASON_TEXT","사유","VARCHAR2","100","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","6","REPORTED_AT","신고일","DATE","","Y","","SYSDATE","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","7","ACTION_STATUS","처리 상태","VARCHAR2","30","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","8","ADMIN_NEW_STATUS","관리자 새 상태","VARCHAR2","30","Y","","","",""
"E-Learning","E-Learning","2025년 7월 26일 토요일","김세형","REPORT","신고","신고 정보","9","ADMIN_REASON","관리자 사유","VARCHAR2","100","Y","","","",""
